Education,Income,Kidhome,Marital_Status,NumDealsPurchases,Recency,Teenhome,Year_Birth,Succesful_cmp,Months_After_2012
2,58138.0,0,0,3,58,0,1957,0,4
2,46344.0,1,0,2,38,1,1954,0,32
2,71613.0,0,2,1,26,0,1965,0,20
2,26646.0,1,2,2,26,0,1984,0,34
4,58293.0,1,3,5,94,0,1981,0,25
3,62513.0,0,2,2,16,1,1967,0,21
2,55635.0,0,1,4,34,1,1971,0,11
4,33454.0,1,3,2,32,0,1985,0,20
4,30351.0,1,2,1,19,0,1974,0,18
4,5648.0,1,2,1,68,1,1950,3,27
2,,1,3,1,11,0,1983,0,23
0,7500.0,0,3,1,59,0,1976,0,11
2,63033.0,0,1,1,82,0,1959,0,23
3,59354.0,1,1,3,53,1,1952,0,23
2,17323.0,0,3,1,38,0,1987,0,10
4,82800.0,0,0,1,23,0,1946,1,11
2,41850.0,1,3,3,51,1,1980,0,12
2,37760.0,0,2,2,20,0,1946,0,8
3,76995.0,0,3,2,91,1,1949,1,15
1,33812.0,1,0,2,86,0,1985,0,3
2,37040.0,0,3,1,41,0,1982,0,8
2,2447.0,1,3,15,42,0,1979,0,18
4,58607.0,0,3,3,63,1,1949,4,12
4,65324.0,0,3,3,0,1,1954,0,35
2,40689.0,0,2,7,69,1,1951,0,15
2,18589.0,0,0,2,89,0,1969,0,14
2,53359.0,1,3,4,4,1,1976,0,17
2,,1,0,0,19,0,1986,0,14
2,38360.0,1,3,2,26,0,1989,0,17
4,84618.0,0,3,1,96,0,1965,5,23
3,10979.0,0,1,2,34,0,1989,0,29
3,38620.0,0,2,1,56,0,1963,0,23
2,40548.0,0,2,2,31,1,1970,4,10
4,46610.0,0,1,6,8,2,1952,0,10
3,68657.0,0,3,1,4,0,1946,0,14
3,49389.0,1,0,1,55,1,1951,0,20
4,67353.0,0,3,5,37,1,1970,0,24
1,23718.0,1,3,3,76,0,1976,0,14
2,42429.0,0,1,2,99,1,1973,0,35
4,48948.0,0,1,2,53,0,1943,3,13
2,80011.0,0,3,2,3,1,1980,0,16
3,20559.0,1,3,2,88,0,1985,0,24
2,21994.0,0,2,1,4,1,1957,0,12
4,,0,0,1,80,0,1959,0,17
3,7500.0,1,3,3,19,0,1975,0,14
2,79941.0,0,0,1,72,0,1976,0,30
1,7500.0,0,3,3,24,0,1996,0,9
2,41728.0,1,2,1,92,0,1968,0,17
2,,2,0,3,96,1,1951,0,25
4,72550.0,1,3,9,39,1,1954,0,8
2,65486.0,0,1,1,29,1,1957,0,36
3,79143.0,0,3,1,2,0,1964,0,11
2,35790.0,1,0,2,54,0,1977,0,14
2,82582.0,0,1,1,54,0,1977,1,31
2,66373.0,1,3,7,57,1,1978,0,24
3,82384.0,0,2,1,55,0,1955,5,11
2,70287.0,0,1,1,30,0,1966,0,14
2,27938.0,1,0,1,31,0,1988,0,28
2,,1,0,2,57,0,1982,0,18
4,55954.0,0,3,3,63,1,1968,0,27
3,75777.0,0,0,1,12,0,1982,4,16
2,66653.0,1,2,4,18,1,1975,0,7
2,61823.0,0,0,4,26,1,1952,0,14
4,67680.0,0,1,1,8,1,1951,0,23
2,70666.0,0,2,1,29,0,1948,0,18
2,25721.0,1,3,1,75,0,1971,0,17
2,32474.0,1,2,1,0,1,1967,0,35
1,88194.0,0,0,1,19,1,1979,1,27
2,69096.0,0,2,1,4,1,1958,0,21
2,74854.0,1,2,7,90,2,1970,0,20
3,66991.0,0,3,3,1,0,1954,0,11
1,,1,3,3,25,0,1973,0,9
2,65031.0,0,3,4,29,1,1959,0,15
4,60631.0,1,3,5,88,1,1975,4,17
2,28332.0,0,3,1,58,0,1952,0,28
2,40246.0,1,1,1,68,0,1977,0,12
3,75251.0,0,3,1,34,0,1972,0,8
2,75825.0,0,0,0,40,0,1976,3,12
1,26326.0,0,2,1,12,0,1976,0,16
2,56046.0,0,2,2,9,0,1965,3,14
2,29760.0,1,0,4,87,0,1985,0,8
2,26304.0,1,3,1,5,0,1969,0,18
1,23559.0,1,3,3,87,0,1973,0,15
3,38620.0,0,2,1,56,0,1963,0,23
2,81361.0,0,1,1,18,0,1987,0,26
