Education,Income,Kidhome,Marital_Status,NumDealsPurchases,Recency,Teenhome,Year_Birth,Months_After_2012,Succesful_cmp
2,0.5102721396522094,0,2,2,26,1,1969,8,0
2,-1.2794566163250445,1,3,3,97,0,1984,14,0
2,1.118542606648968,0,3,2,50,1,1951,16,0
2,-1.1558965683098057,2,1,4,50,1,1961,13,0
2,-0.4392015752475005,0,3,4,98,1,1974,8,0
1,1.6927114346849994,0,0,1,19,1,1979,27,1
2,1.0756586277915052,0,3,1,8,0,1977,9,0
4,-0.7113139683245392,1,3,3,71,1,1959,24,0
4,1.1251760761454386,0,0,1,78,0,1960,23,1
2,0.9299558717387528,0,3,1,85,1,1956,24,0
1,-0.2739721272966876,1,3,1,62,1,1973,30,0
3,-0.783908416194362,1,3,1,10,0,1971,13,3
0,-1.2648816692623774,1,2,1,52,0,1978,9,3
2,-1.3726989058669792,2,3,2,28,1,1967,22,0
3,-0.1159834383032893,0,1,4,29,1,1963,18,0
2,1.0152099691405718,0,3,2,58,1,1971,23,3
2,1.488802319529416,0,1,0,78,0,1975,22,1
2,0.9501365676716764,0,1,1,52,0,1949,27,4
2,-1.7231516394058537,2,3,4,96,0,1980,17,0
2,-1.0086055167438135,0,3,2,97,1,1977,23,0
2,1.2585928992575453,0,1,3,99,1,1973,21,0
2,0.3799851929926625,0,3,2,92,1,1974,18,0
2,-0.742005443389194,1,2,1,54,0,1983,24,0
1,-0.6999623268622696,1,0,1,50,0,1978,24,0
2,-0.8307164192610046,1,0,4,12,0,1988,29,0
1,0.9122977627974443,0,2,2,87,0,1965,14,0
2,-1.0021121909690998,0,2,1,29,0,1960,15,0
4,-0.6692241372236959,1,3,2,49,1,1957,9,0
4,-0.5256702515712084,2,2,4,37,1,1968,13,0
1,-0.4786286756349719,1,1,5,57,1,1964,28,0
2,0.9577043286465228,0,3,1,56,0,1969,23,0
2,0.8730108061317295,0,1,2,65,1,1967,9,0
4,0.5776812698170448,0,1,5,41,1,1961,14,0
3,-0.1099572582677635,0,3,1,65,0,1966,30,0
3,-0.88327031491966,0,1,3,15,0,1959,8,0
2,0.2418501979147563,0,1,1,18,0,1967,17,0
2,1.1522238144444266,0,0,1,68,1,1962,29,3
2,0.5536232642488603,0,0,4,45,1,1966,11,4
3,0.6856386501434031,0,2,1,64,0,1957,20,0
2,-1.1024550957466928,1,2,1,35,0,1983,22,0
1,1.6369342334259462,0,3,1,61,0,1992,12,0
3,-0.6429238321074088,1,3,3,20,1,1971,28,0
4,0.675828589620454,0,2,2,14,1,1961,22,0
2,-0.8354813058007227,1,2,5,69,1,1952,19,3
1,-1.3192574333038662,1,3,3,76,0,1976,21,0
3,-0.3568904960025663,1,3,2,18,1,1975,28,0
2,1.3912622891869513,0,0,0,75,0,1980,18,0
4,0.0306068946539205,0,0,2,63,1,1975,12,0
2,-0.4577472610932661,1,0,4,26,1,1975,18,0
3,0.1537465115038902,0,0,4,49,1,1965,10,0
2,0.6900765346656895,0,1,4,33,1,1970,9,0
2,-1.177572130608131,2,3,1,26,0,1974,29,0
2,0.6319168901367774,0,1,1,29,1,1957,29,0
2,-1.379939664824394,0,3,1,74,0,1963,16,0
1,-1.1712189485551736,0,3,1,27,1,1959,14,0
2,-1.185747181043922,1,0,1,40,0,1986,10,3
2,0.0889533974785078,0,2,3,4,1,1955,29,4
2,-1.7885520428921806,1,2,2,86,1,1960,16,0
1,-0.6243781462616432,1,0,3,42,0,1978,21,0
3,-0.2737852690010123,1,0,4,86,1,1975,8,0
1,-0.1997893839136253,0,1,4,80,1,1975,14,0
2,1.2319655921238266,0,1,2,97,1,1958,25,0
2,0.0267295850186596,0,3,2,68,0,1971,12,0
2,0.3505082968498965,0,3,2,29,1,1950,13,0
2,-0.8580911595774242,2,2,1,65,1,1974,23,0
2,1.3157248231602436,0,3,1,47,0,1963,30,3
4,1.3066621958199955,0,3,1,72,0,1972,8,0
1,0.3205642549679426,0,2,1,44,1,1956,22,0
2,0.93397332509577,1,3,2,93,0,1986,13,3
1,-0.1142082844943747,1,0,2,61,0,1975,24,0
2,-1.2957600026227074,0,2,1,94,0,1959,20,0
2,1.0892525688018777,0,2,1,2,0,1965,9,0
2,0.7234307404437162,0,3,5,63,1,1974,8,0
2,-0.6143345128691001,1,0,4,21,0,1972,8,3
4,2.345127174035029,0,2,0,54,0,1977,11,1
2,0.8947797975778926,0,3,4,95,1,1957,24,0
4,-0.700803189192808,1,1,4,43,1,1953,9,0
3,0.9128116231105512,0,2,2,12,1,1971,18,0
1,1.409060541850016,0,2,1,89,0,1962,20,5
3,1.1126565703351987,0,0,1,12,0,1982,19,4
3,0.0604575073880368,1,2,7,61,1,1975,14,0
3,1.015863973175435,0,1,2,86,2,1951,27,0
4,0.2148958887636059,0,2,3,46,1,1975,12,0
2,-1.948642887711925,1,0,3,32,0,1971,17,0
2,0.8668444823744473,0,0,1,12,0,1993,22,0
0,-1.4730885252184909,1,3,2,5,0,1986,10,0
2,-1.396243051122057,1,2,2,11,0,1970,22,0
3,1.3366996668497872,0,2,1,85,0,1971,10,0
4,0.1618748473657623,0,3,4,6,1,1976,11,3
4,-1.134034147715805,1,2,4,90,0,1978,8,0
2,1.3478644500163814,0,2,1,95,0,1953,21,1
1,1.2397202113943482,0,3,1,44,0,1951,24,1
2,1.4628290164305604,1,0,10,98,2,1970,9,0
3,-0.3643648278295751,1,3,4,85,0,1970,30,0
2,-0.3618422408379596,1,0,4,48,1,1952,23,0
2,0.1595858332437408,0,2,1,3,1,1977,22,0
3,-0.3819295076230457,1,3,6,22,0,1978,29,3
2,0.2404954752711109,0,0,7,44,1,1968,8,2
2,1.88657691644804,0,3,0,9,0,1948,25,3
2,0.5067685466082991,0,2,3,83,1,1960,8,0
4,0.673446146350595,0,2,3,96,1,1948,23,3
2,0.8760939680103706,0,2,6,23,1,1966,12,0
4,0.6416802360858076,0,3,2,50,1,1960,25,0
2,0.0942788589052516,0,2,5,21,1,1958,18,0
1,-1.3266850505569563,1,3,3,87,0,1973,19,0
2,-0.8109094399194312,1,2,5,8,1,1971,13,0
4,-0.2776625786362731,1,2,1,25,1,1955,28,2
2,0.5846417413309468,0,2,2,59,1,1972,22,0
1,-1.3452307364027218,1,3,3,82,1,1970,24,0
2,1.6460435753401133,0,3,1,35,0,1959,29,0
3,4.941196190424774,1,2,0,37,0,1971,18,0
2,-1.2402163742332484,1,3,1,48,0,1973,20,0
3,-0.565284210254355,1,0,1,67,0,1969,13,0
2,1.1134507180918185,0,3,1,33,0,1987,24,1
4,1.198284384328368,0,3,2,70,1,1952,10,0
1,-1.2218108321092394,1,3,2,34,0,1978,21,0
4,-1.2355916314152868,1,1,3,15,0,1974,9,0
2,0.4353419630864463,0,2,2,87,1,1953,25,0
4,0.4764975027089134,0,0,1,68,0,1946,28,0
2,-1.2095248991685936,1,3,3,49,0,1974,23,0
2,-0.274345843888038,0,1,4,34,1,1956,23,0
2,-1.5200833865808088,1,3,4,76,0,1981,11,0
2,1.7719860666252114,0,2,1,17,0,1991,16,5
4,0.671530848819924,0,3,2,82,1,1956,16,0
2,-0.149804789820504,1,3,5,8,1,1969,12,0
2,-1.5346583336434758,1,3,2,49,0,1980,20,0
3,0.9463526871842532,0,0,1,93,0,1962,16,0
2,3.398932597978631e-16,0,3,1,96,1,1963,20,0
4,-0.0182098350912306,0,1,4,39,1,1949,14,4
2,-1.3304689310443796,0,0,1,51,0,1965,15,0
4,0.7999959270966375,1,3,2,43,0,1970,23,0
2,-0.6326933404191905,1,3,2,91,1,1978,13,0
2,0.6141653520476316,0,3,3,55,1,1975,29,4
3,-1.4434714853539683,1,3,3,40,0,1982,25,0
2,3.398932597978631e-16,1,0,1,45,1,1957,29,0
4,-0.9318534717952172,1,3,3,89,0,1971,20,0
3,-0.2586030324774007,1,0,3,6,1,1972,21,0
1,-0.2422996461797378,0,2,6,88,1,1975,11,3
1,1.0672500044861204,0,2,5,14,1,1955,23,0
2,-1.3864329905991075,1,2,1,85,0,1975,17,0
0,-2.0768743931190445,0,3,1,59,0,1976,11,0
2,1.2151950600869756,0,2,1,18,0,1954,27,0
2,1.4305492458526663,0,1,1,54,0,1977,30,1
3,1.8318274358152005,0,0,0,94,0,1990,15,1
4,1.4810944148328131,1,1,3,57,1,1968,17,0
3,-0.6309649011841947,1,3,3,62,1,1955,27,0
2,-1.1745356833034086,0,0,1,50,0,1986,8,0
0,-1.248905284982146,1,3,2,36,0,1972,27,0
4,-1.348547471150957,1,0,4,98,1,1963,29,0
2,1.5718141173831324,0,2,2,89,1,1976,11,1
4,-0.3154079543626675,1,3,5,64,1,1974,11,4
4,-0.8651917748130825,1,1,4,81,1,1958,21,0
4,1.4041555115885411,0,3,1,58,0,1957,11,1
2,0.0174333848088175,0,1,1,63,0,1959,20,4
4,3.398932597978631e-16,1,0,2,82,0,1981,17,0
2,-0.9749243089483554,1,2,3,57,0,1981,8,0
2,-0.9798760537837486,0,0,1,50,0,1963,11,0
2,-1.270487418132634,1,0,3,16,0,1972,26,3
4,5.159072963182081,1,2,0,31,1,1976,18,0
2,0.7228234509827718,0,3,2,69,1,1973,15,0
3,-0.4990896590114084,1,2,4,33,2,1960,27,0
4,1.3256283128310304,0,3,1,12,0,1970,21,0
0,-1.1075936988777613,0,3,1,80,0,1961,30,0
1,-1.290387826622045,1,0,1,82,0,1981,8,0
0,-1.4838795917937349,1,0,2,64,0,1979,12,0
2,-0.6078879016683051,0,2,2,84,1,1955,22,0
2,-0.4378468526038552,1,2,5,7,1,1955,10,0
3,-1.158419155301421,1,3,1,41,0,1986,22,0
2,0.7799553748854702,0,0,1,95,0,1988,8,0
2,-1.3421475745240807,1,2,2,71,0,1969,25,0
3,-0.97160757420012,1,0,2,59,0,1975,21,0
1,-1.4839263063676538,0,2,1,18,0,1991,11,0
4,0.1866335715427289,0,3,3,63,1,1968,27,0
4,0.8624533124260796,0,3,3,98,1,1954,30,0
4,0.0661099708322122,0,2,6,34,1,1969,8,3
4,0.6391109345202733,0,2,1,74,1,1974,27,0
2,0.1545406592605099,0,3,4,28,1,1957,22,0
4,1.171516933472893,0,3,1,3,1,1960,22,0
3,-0.7490593440509336,1,2,1,56,1,1969,27,0
2,0.2401684732536793,1,0,2,9,0,1987,29,0
1,-1.4868693245245383,0,3,1,99,0,1974,27,0
2,-1.3676537318837485,1,2,3,51,0,1973,22,0
3,-0.1064069506499343,0,3,6,66,2,1976,23,0
1,0.7641191343269953,0,2,5,54,1,1964,11,0
3,0.3123892045321517,0,3,1,3,1,1962,18,0
3,1.2827910485474865,0,2,1,96,0,1970,30,0
2,-1.3072050732328149,1,2,3,68,0,1984,24,0
4,-0.1647534534745216,0,0,5,3,1,1973,10,0
2,-1.4655207642436443,1,0,1,39,0,1970,29,0
2,0.2806700088412832,0,0,5,39,1,1962,15,0
4,0.8275575257087324,0,1,3,46,2,1968,17,0
4,1.0778542127656892,0,3,2,74,1,1959,16,0
2,0.8011637914446076,0,3,1,10,0,1982,11,5
0,-1.3189771458603534,1,2,2,65,0,1979,13,0
2,0.5477372279350909,0,3,3,61,1,1970,11,0
1,0.626497999562196,0,3,1,1,0,1984,20,0
2,1.3161919688994317,1,3,2,40,0,1972,17,1
4,0.9619086402992152,1,3,9,39,1,1954,11,0
3,-1.1585125844492583,1,3,2,33,1,1973,27,0
3,-0.4062210860608242,0,3,3,2,1,1977,11,0
2,1.1689476319073586,0,1,1,19,0,1967,26,5
2,-0.4544305263450309,1,3,1,99,1,1969,27,0
2,-2.0768743931190445,1,0,4,5,1,1978,12,0
2,-0.0924392930482116,0,0,2,79,1,1963,22,0
2,1.4834768581026725,0,3,1,2,0,1962,26,0
2,1.09658675690713,1,3,2,28,0,1989,28,1
3,-0.1146287156596439,1,3,9,4,1,1971,15,0
2,0.4448717361658825,0,3,1,39,0,1965,30,0
2,0.2886582009813989,0,0,3,58,0,1957,9,0
2,1.404015367866785,0,0,1,48,0,1961,8,0
4,0.2397480420884101,0,3,2,82,1,1972,11,4
2,-0.613633794260318,0,2,1,56,1,1949,8,0
4,1.6457165733226815,0,0,1,73,0,1983,18,0
2,-0.3567503522808098,1,3,2,30,0,1985,30,0
4,1.4891760361207664,0,3,1,79,0,1948,12,1
4,1.1519435270009135,0,3,1,64,0,1975,12,0
3,1.3645415529053948,0,0,1,47,0,1975,16,0
3,-1.3554145135170212,1,0,3,67,0,1981,24,0
2,1.6069434769700737,1,0,4,78,1,1966,8,0
2,1.272794129728862,0,3,1,73,0,1975,8,1
2,-0.022414146743923,1,3,7,67,1,1967,12,0
0,-1.1010536585291286,0,2,1,49,0,1947,11,0
2,-0.0548340610435736,1,0,2,27,1,1962,21,0
3,-0.1064069506499343,0,3,6,66,2,1976,23,0
2,1.4502160814724832,0,2,1,18,0,1965,15,5
3,-0.5539325687920854,1,2,4,73,0,1985,10,0
3,-0.0200784180479828,0,1,2,14,1,1949,21,0
4,1.6302540493555573,0,0,1,96,0,1972,9,0
3,-1.9143543904555225,0,1,2,34,0,1989,29,0
4,1.2092623091992871,0,2,1,40,0,1989,29,1
2,1.0822920972879757,0,0,1,92,0,1952,29,0
4,-0.491521898036562,1,1,1,5,1,1957,9,0
1,-1.3240223198435843,1,0,2,76,0,1982,11,0
4,0.2388604651839528,0,3,2,79,1,1961,25,3
3,-0.0265717438226967,1,1,6,54,1,1965,9,0
2,0.8296596815350786,0,0,1,99,0,1974,29,0
2,0.3609723614077089,0,0,1,78,1,1965,25,0
3,0.1864934278209725,0,2,3,62,1,1952,8,2
2,1.191137054518791,0,0,1,85,0,1947,27,5
4,1.3834609553425108,0,2,1,89,0,1947,28,4
2,-1.308092650137272,1,3,1,47,0,1975,10,0
0,-2.009605406675965,1,0,3,25,0,1986,8,0
4,-0.7603642709392844,1,1,1,34,0,1970,30,0
4,-0.4244397698891581,1,1,4,11,1,1950,13,0
2,-0.5716373923073125,0,3,2,92,1,1953,26,0
